SLCAN,SLCAT,CONTEXT
Telematik,NST,"Verschmelzung aus Telekommunikation und Informatik.Forschungsbereich, der sich mit der wechselseitigen Beeinflussung und Verflechtung verschiedener nachrichtentechnischer Disziplinen befasst, insbesondere mit den auf den gleichen Basistechnologien beruhenden Gebieten der elektronischen Informationsverarbeitung und der Telekommunikation. Als spezielles Gebiet der Telematik entwickelten sich in den letzten Jahren die Verkehrstelematik und die darauf aufbauenden Dienste, die für mehr Sicherheit, Effizienz, Umweltverträglichkeit und Wirtschaftlichkeit im Verkehr sorgen."
Telemedizin,NST,"Die Telemedizin ist ein Teilbereich der Telematik im Gesundheitswesen. Sie bezeichnet Diagnostik und Therapie unter Überbrückung einer räumlichen oder zeitlichen Trennung zwischen Arzt, Apotheker und Patienten oder zwischen zwei sich konsultierenden Ärzten mittels Telekommunikation."
TeraStream,NST,"TeraStream ist eine neue, cloudbasierte IP-Netzarchitektur. Mit ihr wird die IT-Komplexität in bisherigen Netzen erheblich reduziert, indem die Betriebssysteme für den Netzbetrieb in die Wolke wandern. Die Administration und Steuerung der Netze wird durch die Anwendung des Cloud-Modells deutlich einfacher, da sie zentral aus einem Rechenzentrum erfolgt und nicht mehr direkt an der jeweiligen Netzkomponente."
TETRA (terrestrial trunked radio),NST,"Ursprünglich trans european trunked radio.TETRA ist ein Standard für digitalen Bündelfunk. Er eignet sich wegen seiner besonderen Leistungsmerkmale besonders für Behörden und Organisationen mit Sicherheitsaufgaben (Polizei, Feuerwehr, Rettungsdienste)."
Thermische Effekte,NST,"Effekte elektromagnetischer Felder, die eine Temperaturerhöhung im Körper bewirken."
Trainee,NST,"Als Trainee bezeichnet man Hochschulabsolventen, die nach ihrem Studium in ein Unternehmen einsteigen. Dort werden sie in verschiedenen Abteilungen eingesetzt, um die Prozesse und Abläufe des Unternehmens kennenzulernen.Sie interessieren sich für solch einen Einstieg? Dann schauen Sie sich doch einmal unser Start up!-Programm an."
Trendence Graduate Barometer,NST,"Das Trendence Graduate Barometer ist eine Studienreihe, die Auskunft über die beliebtesten Arbeitgeber gibt.Dabei werden rund 33.000 angehende Akademiker bezüglich ihrer Erwartungen und Wünsche im Hinblick auf ihre Arbeitgeberwahl befragt."
TSG,NST,"Die Telekom Shop Vertriebsgesellschaft (TSG) ist das Schaufenster zu den Kunden der Telekom. In den Telekom Shops suchen wir nach Mitarbeitern und Führungskräften, deren Herz für den Kunden schlägt."
UMTS,NST,"Universal Mobile Telecommunications System ist ein Mobilfunkstandard der dritten Generation (3G). UMTS hat ein erweitertes Leistungsspektrum und löste die Mobilkommunikation über GSM ab. UMTS unterstützt leistungsfähige Multimediadienste. Dazu gehören neben den Sprach- und Audiodiensten die schnelle Daten-, Grafiken- und Textübertragung sowie die Übertragung von Bewegtbildern und Video."
Uplink,NST,Ist die Funkverbindung vom mobilen Endgerät (z. B. Handy oder Smartphone) zur Basisstation.
Utilization Rate,NST,Quotient aus durchschnittlicher Anzahl ­fakturierter Stunden und fakturierbarer Stunden pro Periode.
Vectoring,NST,"Eine Technologie, die auf VDSL aufbaut und höhere Bandbreiten ermöglicht. Die bisherigen Kupferleitungen zwischen den Haushalten und den Kabelverzweigern bleiben dabei bestehen. Vectoring sorgt für eine Abschwächung der Signalinterferenzen, die auf dem Kupfer für eine Verlangsamung der Datenübertragung verantwortlich sind. So können Downloadgeschwindigkeiten von bis zu 100 Mbit/s erreicht werden."
Verbändevereinbarung,NST,"Vereinbarung von 2001 der kommunalen Spitzenverbände – Deutscher Städtetag, Deutscher Landkreistag und Deutscher Städte- und Gemeindebund – mit den Netzbetreibern auf ein Mitspracherecht der Kommunen beim Ausbau der Mobilfunknetze."
VOD (Video on demand),NST,"VOD ist ein multimedialer Dienst, der es Teilnehmern ermöglicht, zu einem beliebigen Zeitpunkt aus einer angebotenen Menge von Videos (wie Spielfilmen, Lehrmodulen oder Musik-Clips) ein Video auszuwählen und abzuspielen. Die Inhalte sind in vernetzten Video-Servern komprimiert gespeichert und werden meist über ein breitbandiges Netz (Internet) übermittelt und auf dem Fernseher oder einem anderen geeigneten Gerät abgespielt. Im TV Markt wird VOD oft als kostenpflichtiger ""pay per view""- (Bezahlung pro Abruf) oder Abonnement- (Bezahlung auf zeitraumbezogener Vertragsbasis) Service angeboten."
Voice over IP,NST,"(VoIP) ist die Zusammenführung von Sprache und Daten auf einer gemeinsamen Infrastruktur (TCP/IP-Protokoll).Man versteht darunter das Telefonieren über Computernetzwerke, und zwar Datennetze, die mit dem weit verbreiteten Internet-Protokoll (IP) arbeiten. Die VoIP-Technologie nutzt die bisher vorhandenen Leitungs-Ressourcen deutlich effizienter aus. Hierdurch sinken die Gesprächskosten. Zudem können IT-Anwendungen und Telefonie dank gemeinsamer Netz-Infrastruktur besser zusammenarbeiten."
VPN,NST,"Virtual Private Network - virtuelles privates Netzwerk: ein geschlossenes Rechnernetz, das auf einer öffentlichen Netzwerk-Infrastruktur aufgebaut ist. Nur Kommunikationspartner, die zu diesem privaten Netzwerk gehören, können miteinander kommunizieren und Informationen und Daten austauschen. VPNs werden zum Beispiel von Firmen mit mehreren Standorten zur Sicherung des Datenverkehrs zwischen den einzelnen Standorten verwendet."
W-LAN,NST,"Wireless Local Area Network ist ein Funkstandard für die drahtlose Datenübertragung in einem kleinräumigen lokalen Funknetz. Zu einem W-LAN gehört zum einen ein Zugangspunkt, der W-LAN-Router. Er stellt die Verbindung ins Internet her. Zum anderen wird ein W-LANfähiges Gerät, zum Beispiel ein Laptop mit einem W-LAN-Adapter, benötigt."
WAP,NST,"Wireless Application Protocol.Das Wireless Application Protocol (WAP) bezeichnet eine Sammlung von Technologien und Protokollen, mit denen man Internetinhalte für die langsamere Übertragungsrate und die längeren Antwortzeiten in GSM -Mobilfunknetzen sowie für die kleinen Displays der Mobiltelefone verfügbar gemacht hat."
Webcast,NST,Webcast bezeichnet die Sendung von audiovisuellen Inhalten über das Internet. Webcasts haben dabei in der Regel informierende oder wissenschaftliche Inhalte.
Weiße Flecken,NST,"Als ""weiße Flecken"" werden Gebiete (z. B. Städte und Gemeinden) bezeichnet, die die Bundesländer gegenüber der Bundesnetzagentur als nur mangelhaft - weder durch Festnetz noch durch Mobilfunk - mit Breitband-Internet versorgt benannt haben. Diese Gebiete liegen meist im ländlichen Raum; ihr Ausbau wird im Telekom-Projekt ""Mehr Breitband für Deutschland"" vorangetrieben."
WHO,NST,World Health Organization / Weltgesundheitsorganisation
Wholesale,NST,"Bezeichnung für die Abgabe von Leistungen an Dritte, die diese ihren Endkunden direkt oder verarbeitet zur Verfügung stellen."
Wissenschaftlicher Nachweis,NST,"Ein Effekt gilt erst dann als wissenschaftlich nachgewiesen, wenn dieser Effekt in mehreren Experimenten durch verschiedene voneinander unabhängige Forschergruppen wiederholt und bestätigt werden konnte.Die SSK spricht vom wissenschaftlichen Nachweis, ""wenn wissenschaftliche Studien voneinander unabhängiger Forschungsgruppen diesen Zusammenhang reproduzierbar zeigen und das wissenschaftliche Gesamtbild das Vorliegen eines kausalen Zusammenhangs stützt""."
women&work,NST,Der Messe-Kongress women&work versucht Frauen gezielt bei ihrer Karriereplanung zu unterstützen und praktische Hilfen für ein erfolgreiches Berufsleben anzubieten.Die Messebesucher können vor Ort mit uns in Kontakt treten und sich über den Einstieg und Karriereperspektiven im Konzern informieren.
Work-life,NST,Das Thema Work-life Balance wird bei der Telekom groß geschrieben. Dahinter steht das ausgeglichene Verhältnis zwischen Beruf und Privatleben. Dazu zählen unter anderem flexibles und mobiles Arbeiten.
X-change,NST,"Das X-change Programm bietet Mitarbeitern der Telekom die Möglichkeit, drei bis sechs Monate an einem Standort im Ausland zu arbeiten. So können die Fach- und Führungskräfte andere Länder, Kollegen und Arbeitsweisen kennenlernen und davon profitieren."
Zeitschlitz,NST,Fest zugeordneter Zeitabschnitt innerhalb eines Übertragungsrahmens. Im GSM-Netz werden Sprach- und Datensignale als Datenpakete in regelmäßigen Zeitabständen - den sogenannten Zeitschlitzen - gesendet.
